"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X236",0.22084947281719,0.279648799894946,0.0634445765928801,0.165500205470933,0.180645937135031,0.0899110080890203
"X237",0.223926937918482,0.4337066900622,0.105434062364055,0.059427243387839,0.113737651974955,0.0637674142924693
"X238",0.209537027003805,0.163443962954889,0.393366466106635,0.0373504360587785,0.11735251150626,0.0789495963696318
"X239",0.320256371621874,0.0641061405302283,0.362937464184486,0.172004486467887,0.0316507218264244,0.0490448153691
"X240",0.223833581980741,0.178858437495287,0.32348839612528,0.016898450699952,0.220306169243288,0.0366149644554528
"X241",0.149602517675501,0.0889362192886897,0.302641972723413,0.0526808564174121,0.336445946676198,0.0696924872187862
"X242",0.220168856036009,0.286352730719804,0.115860344292581,0.256554796154861,0.023182285111472,0.0978809876852728
"X243",0.243619291153302,0.0792389045732373,0.315528074900887,0.0381892569685277,0.262607368825329,0.0608171035787177
"X244",0.127801683787506,0.230334087123409,0.415103629851883,0.102074648546318,0.0482414327738224,0.0764445179170618
"X245",0.281651667042981,0.074287322560317,0.153103804871926,0.0552533875043094,0.357867293754041,0.0778365242664251
"X246",0.180390912610349,0.428515021029154,0.179336452958792,0.051134489839362,0.0676524629442576,0.0929706606180864
"X247",0.187443077724347,0.0983407350410229,0.261543057540612,0.259686590162255,0.106365897813428,0.086620641718336
"X248",0.138230944134927,0.108345454776126,0.350023921644397,0.245211153170898,0.0896931238807744,0.0684954023928773
"X249",0.17636792358515,0.0918643918256544,0.453950835591032,0.0183301351407985,0.201511566472182,0.0579751473851829
